"","user_id","learner_id","native_pl","assessment","assess_score_first_perc","assess_score_final_perc","feedback","state","start","end","dur"
"88",129,"P020",1,"Progress test: Topics 9-15",NA,60,"retake",NA,NA,NA,NA
"89",41,"P050",1,"Progress test: Topics 9-15",NA,38.33,NA,NA,NA,NA,NA
"90",71,"P063",1,"Progress test: Topics 9-15",NA,89.17,NA,NA,NA,NA,NA
"91",121,"P040",1,"Progress test: Topics 9-15",NA,39.17,NA,NA,NA,NA,NA
"92",74,"P024",1,"Progress test: Topics 9-15",NA,40.83,NA,NA,NA,NA,NA
"93",143,"P021",1,"Progress test: Topics 9-15",NA,75,NA,NA,NA,NA,NA
"94",55,"P002",1,"Progress test: Topics 9-15",NA,60,"retake",NA,NA,NA,NA
"95",109,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"96",78,"P014",1,"Progress test: Topics 9-15",NA,60,"retake",NA,NA,NA,NA
"97",47,"P017",1,"Progress test: Topics 9-15",NA,26.67,NA,NA,NA,NA,NA
"98",42,"P015",1,"Progress test: Topics 9-15",NA,27.5,NA,NA,NA,NA,NA
"99",117,"P043",1,"Progress test: Topics 9-15",NA,61.67,NA,NA,NA,NA,NA
"100",101,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"101",80,"P023",1,"Progress test: Topics 9-15",NA,31.67,NA,NA,NA,NA,NA
"102",33,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"103",139,NA,0,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"104",54,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"105",77,NA,1,"Progress test: Topics 9-15",NA,60,"retake; original score 25",NA,NA,NA,NA
"106",87,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"107",75,"P007",1,"Progress test: Topics 9-15",NA,0,NA,NA,NA,NA,NA
"108",104,"P062",1,"Progress test: Topics 9-15",NA,70.83,NA,NA,NA,NA,NA
"109",22,"P080",1,"Progress test: Topics 9-15",NA,80,NA,NA,NA,NA,NA
"110",105,"P056",1,"Progress test: Topics 9-15",NA,64.17,NA,NA,NA,NA,NA
"111",19,NA,1,"Progress test: Topics 9-15",NA,87.5,NA,NA,NA,NA,NA
"112",84,"P052",1,"Progress test: Topics 9-15",NA,58.33,NA,NA,NA,NA,NA
"113",132,"P044",1,"Progress test: Topics 9-15",NA,60,"retake",NA,NA,NA,NA
"114",21,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"115",31,"P047",1,"Progress test: Topics 9-15",NA,63.33,NA,NA,NA,NA,NA
"116",98,"P067",1,"Progress test: Topics 9-15",NA,35,NA,NA,NA,NA,NA
"117",57,"P028",1,"Progress test: Topics 9-15",NA,51.67,NA,NA,NA,NA,NA
"118",110,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"119",88,"P022",1,"Progress test: Topics 9-15",NA,85.83,NA,NA,NA,NA,NA
"120",114,"P027",1,"Progress test: Topics 9-15",NA,40,NA,NA,NA,NA,NA
"121",35,"P013",1,"Progress test: Topics 9-15",NA,60,"retake",NA,NA,NA,NA
"122",58,"P004",1,"Progress test: Topics 9-15",NA,30,NA,NA,NA,NA,NA
"123",15,"P035",1,"Progress test: Topics 9-15",NA,60,NA,NA,NA,NA,NA
"124",82,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"125",73,"P039",1,"Progress test: Topics 9-15",NA,40.83,NA,NA,NA,NA,NA
"126",137,"P051",1,"Progress test: Topics 9-15",NA,28.33,NA,NA,NA,NA,NA
"127",72,"P010",1,"Progress test: Topics 9-15",NA,0,NA,NA,NA,NA,NA
"128",23,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"129",108,"P032",1,"Progress test: Topics 9-15",NA,67.5,NA,NA,NA,NA,NA
"130",18,NA,0,"Progress test: Topics 9-15",NA,60,"retake",NA,NA,NA,NA
"131",147,NA,0,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"132",86,"P029",1,"Progress test: Topics 9-15",NA,48.33,NA,NA,NA,NA,NA
"133",30,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"134",61,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"135",135,"P036",1,"Progress test: Topics 9-15",NA,19.17,NA,NA,NA,NA,NA
"136",89,"P058",1,"Progress test: Topics 9-15",NA,79.17,NA,NA,NA,NA,NA
"137",76,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"138",127,NA,1,"Progress test: Topics 9-15",NA,46.67,NA,NA,NA,NA,NA
"139",20,"P081",1,"Progress test: Topics 9-15",NA,19.17,NA,NA,NA,NA,NA
"140",38,NA,0,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"141",70,"P045",1,"Progress test: Topics 9-15",NA,60.83,NA,NA,NA,NA,NA
"142",37,"P016",1,"Progress test: Topics 9-15",NA,64.17,NA,NA,NA,NA,NA
"143",125,NA,0,"Progress test: Topics 9-15",NA,62.5,NA,NA,NA,NA,NA
"144",103,"P011",1,"Progress test: Topics 9-15",NA,80.83,NA,NA,NA,NA,NA
"145",95,"P019",1,"Progress test: Topics 9-15",NA,0,NA,NA,NA,NA,NA
"146",69,"P057",1,"Progress test: Topics 9-15",NA,75.83,NA,NA,NA,NA,NA
"147",97,"P025",1,"Progress test: Topics 9-15",NA,53.33,NA,NA,NA,NA,NA
"148",46,"P030",1,"Progress test: Topics 9-15",NA,60,"retake",NA,NA,NA,NA
"149",133,"P048",1,"Progress test: Topics 9-15",NA,84.17,NA,NA,NA,NA,NA
"150",67,"P018",1,"Progress test: Topics 9-15",NA,78.33,NA,NA,NA,NA,NA
"151",83,"P003",1,"Progress test: Topics 9-15",NA,62.5,"office hour",NA,NA,NA,NA
"152",36,"P006",1,"Progress test: Topics 9-15",NA,76.67,NA,NA,NA,NA,NA
"153",32,NA,0,"Progress test: Topics 9-15",NA,0,NA,NA,NA,NA,NA
"154",116,"P046",1,"Progress test: Topics 9-15",NA,68.33,NA,NA,NA,NA,NA
"155",107,"P079",1,"Progress test: Topics 9-15",NA,33.33,NA,NA,NA,NA,NA
"156",81,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"157",144,NA,0,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"158",68,NA,1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"159",145,NA,0,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"160",92,"P034",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 14:33:00,2016-03-06 14:39:00,"5 mins 25 secs"
"161",26,NA,1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-06-05 05:58:00,2016-06-05 06:03:00,"4 mins 36 secs"
"162",123,NA,0,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"163",56,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-04-03 01:24:00,2016-04-03 01:30:00,"5 mins 28 secs"
"164",25,NA,1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"165",59,"P012",1,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-03-06 09:30:00,2016-03-06 09:36:00,"6 mins 8 secs"
"166",129,"P020",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 12:59:00,2016-03-06 13:06:00,"7 mins 4 secs"
"167",41,"P050",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 14:13:00,2016-03-06 14:20:00,"7 mins 1 sec"
"168",71,"P063",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 12:22:00,2016-03-06 12:29:00,"7 mins"
"169",121,"P040",1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"170",74,"P024",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 12:08:00,2016-03-06 12:14:00,"5 mins 51 secs"
"171",143,"P021",1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-06 08:45:00,2016-03-06 08:49:00,"4 mins 28 secs"
"172",55,"P002",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 08:05:00,2016-03-06 08:12:00,"6 mins 46 secs"
"173",109,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-06-03 20:03:00,2016-06-03 20:10:00,"6 mins 45 secs"
"174",109,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-06-03 20:10:00,2016-06-03 20:14:00,"4 mins 14 secs"
"175",78,"P014",1,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-03-06 14:37:00,2016-03-06 14:43:00,"6 mins 15 secs"
"176",47,"P017",1,"Quiz: Topic 13 - Post-class quiz",20,20,NA,"Finished",2016-03-06 14:38:00,2016-03-06 14:45:00,"7 mins 1 sec"
"177",42,"P015",1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-06 10:04:00,2016-03-06 10:08:00,"4 mins 17 secs"
"178",117,"P043",1,"Quiz: Topic 13 - Post-class quiz",NA,60,"office hours",NA,NA,NA,NA
"179",101,NA,1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-30 13:22:00,2016-03-30 13:28:00,"6 mins 20 secs"
"180",80,"P023",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 10:17:00,2016-03-06 10:24:00,"6 mins 40 secs"
"181",33,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-06-05 09:44:00,2016-06-05 09:50:00,"5 mins 35 secs"
"182",33,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-06-05 09:50:00,2016-06-05 09:51:00,"1 min 27 secs"
"183",139,NA,0,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-04-03 09:50:00,2016-04-03 09:55:00,"5 mins 18 secs"
"184",54,NA,1,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-06-03 10:45:00,2016-06-03 10:51:00,"6 mins 2 secs"
"185",77,NA,1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-06 05:29:00,2016-03-06 05:34:00,"5 mins 35 secs"
"186",87,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-04-03 03:17:00,2016-04-03 03:24:00,"6 mins 47 secs"
"187",75,"P007",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-05 23:46:00,2016-03-05 23:51:00,"4 mins 40 secs"
"188",104,"P062",1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-06 01:55:00,2016-03-06 02:02:00,"7 mins"
"189",22,"P080",1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-05 12:08:00,2016-03-05 12:15:00,"6 mins 44 secs"
"190",105,"P056",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 10:48:00,2016-03-06 10:55:00,"6 mins 56 secs"
"191",19,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-06 03:01:00,2016-03-06 03:08:00,"7 mins"
"192",84,"P052",1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-06 04:06:00,2016-03-06 04:13:00,"6 mins 58 secs"
"193",132,"P044",1,"Quiz: Topic 13 - Post-class quiz",NA,60,"oral retake",NA,NA,NA,NA
"194",21,NA,1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"195",31,"P047",1,"Quiz: Topic 13 - Post-class quiz",NA,60,"oral retake",NA,NA,NA,NA
"196",98,"P067",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 10:09:00,2016-03-06 10:16:00,"6 mins 45 secs"
"197",57,"P028",1,"Quiz: Topic 13 - Post-class quiz",20,20,NA,"Finished",2016-03-06 10:26:00,2016-03-06 10:32:00,"5 mins 50 secs"
"198",110,NA,1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"199",88,"P022",1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-05 04:34:00,2016-03-05 04:41:00,"7 mins 1 sec"
"200",114,"P027",1,"Quiz: Topic 13 - Post-class quiz",20,20,NA,"Finished",2016-03-06 11:09:00,2016-03-06 11:16:00,"7 mins 3 secs"
"201",35,"P013",1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-06 08:57:00,2016-03-06 09:04:00,"6 mins 53 secs"
"202",58,"P004",1,"Quiz: Topic 13 - Post-class quiz",20,20,NA,"Finished",2016-03-06 14:03:00,2016-03-06 14:07:00,"3 mins 50 secs"
"203",15,"P035",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 10:58:00,2016-03-06 11:04:00,"6 mins 9 secs"
"204",82,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-04-03 11:31:00,2016-04-03 11:33:00,"2 mins 48 secs"
"205",73,"P039",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 09:57:00,2016-03-06 10:04:00,"7 mins 3 secs"
"206",137,"P051",1,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-03-06 11:28:00,2016-03-06 11:35:00,"6 mins 43 secs"
"207",72,"P010",1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-06 04:26:00,2016-03-06 04:31:00,"4 mins 34 secs"
"208",23,NA,1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"209",108,"P032",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 11:58:00,2016-03-06 12:05:00,"7 mins"
"210",18,NA,0,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-06 09:50:00,2016-03-06 09:57:00,"6 mins 56 secs"
"211",147,NA,0,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-31 13:14:00,2016-03-31 13:21:00,"7 mins"
"212",86,"P029",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 08:39:00,2016-03-06 08:45:00,"5 mins 50 secs"
"213",30,NA,1,"Quiz: Topic 13 - Post-class quiz",40,80,NA,"Finished",2016-06-02 06:53:00,2016-06-02 06:57:00,"4 mins 42 secs"
"214",30,NA,1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-06-05 08:44:00,2016-06-05 08:49:00,"4 mins 18 secs"
"215",61,NA,1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-04-02 12:22:00,2016-04-02 12:27:00,"4 mins 43 secs"
"216",135,"P036",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 13:24:00,2016-03-06 13:29:00,"4 mins 45 secs"
"217",89,"P058",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 13:46:00,2016-03-06 13:53:00,"7 mins"
"218",76,NA,1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-06-05 12:21:00,2016-06-05 12:28:00,"7 mins 2 secs"
"219",76,NA,1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-06-05 12:55:00,2016-06-05 13:00:00,"5 mins 17 secs"
"220",127,NA,1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-06 08:27:00,2016-03-06 08:32:00,"5 mins 7 secs"
"221",20,"P081",1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"222",38,NA,0,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"223",70,"P045",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-05 08:47:00,2016-03-05 08:51:00,"4 mins 19 secs"
"224",37,"P016",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 01:25:00,2016-03-06 01:30:00,"5 mins 6 secs"
"225",125,NA,0,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-03-06 13:16:00,2016-03-06 13:19:00,"2 mins 55 secs"
"226",103,"P011",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 10:57:00,2016-03-06 11:00:00,"3 mins 9 secs"
"227",95,"P019",1,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-03-06 11:00:00,2016-03-06 11:04:00,"4 mins"
"228",69,"P057",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 07:37:00,2016-03-06 07:44:00,"7 mins"
"229",97,"P025",1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-06 10:42:00,2016-03-06 10:48:00,"5 mins 23 secs"
"230",46,"P030",1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-03-06 01:42:00,2016-03-06 01:49:00,"7 mins"
"231",133,"P048",1,"Quiz: Topic 13 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"232",67,"P018",1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-06 02:27:00,2016-03-06 02:34:00,"7 mins"
"233",83,"P003",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-05 03:44:00,2016-03-05 03:48:00,"4 mins 20 secs"
"234",36,"P006",1,"Quiz: Topic 13 - Post-class quiz",60,60,NA,"Finished",2016-03-06 00:52:00,2016-03-06 00:59:00,"7 mins 2 secs"
"235",32,NA,0,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 03:42:00,2016-03-06 03:49:00,"6 mins 29 secs"
"236",116,"P046",1,"Quiz: Topic 13 - Post-class quiz",80,80,NA,"Finished",2016-03-06 14:22:00,2016-03-06 14:29:00,"6 mins 35 secs"
"237",107,"P079",1,"Quiz: Topic 13 - Post-class quiz",40,40,NA,"Finished",2016-03-05 07:21:00,2016-03-05 07:23:00,"1 min 24 secs"
"238",81,NA,1,"Quiz: Topic 13 - Post-class quiz",50,100,NA,"Finished",2016-06-02 09:55:00,2016-06-02 10:02:00,"6 mins 41 secs"
"239",81,NA,1,"Quiz: Topic 13 - Post-class quiz",100,100,NA,"Finished",2016-06-02 10:32:00,2016-06-02 10:36:00,"3 mins 42 secs"
"240",144,NA,0,"Quiz: Topic 14 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"241",68,NA,1,"Quiz: Topic 14 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"242",145,NA,0,"Quiz: Topic 14 - Post-class quiz",NA,NA,NA,NA,NA,NA,NA
"243",92,"P034",1,"Quiz: Topic 14 - Post-class quiz",33,33.33,NA,"Finished",2016-03-13 15:07:00,2016-03-13 15:13:00,"6 mins 36 secs"
"244",26,NA,1,"Quiz: Topic 14 - Post-class quiz",0,50,NA,"Finished",2016-04-17 12:53:00,2016-04-17 12:59:00,"6 mins 19 secs"
"245",26,NA,1,"Quiz: Topic 14 - Post-class quiz",50,50,NA,"Finished",2016-06-05 09:09:00,2016-06-05 09:16:00,"7 mins"
"246",26,NA,1,"Quiz: Topic 14 - Post-class quiz",17,50,NA,"Finished",2016-06-05 09:35:00,2016-06-05 09:41:00,"5 mins 47 secs"
